regopenkey regqueryvalue regopenkey regqueryvalue regopenkey regqueryvalue regqueryvalue regopenkey regqueryvalue regopenkey regqueryvalue regqueryvalue regopenkey regqueryvalue regqueryvalue regqueryvalue regopenkey regopenkey regqueryvalue regopenkey regopenkey regqueryvalue regopenkey regqueryvalue regqueryvalue regopenkey regqueryvalue regqueryvalue regqueryvalue regqueryvalue regopenkey regqueryvalue regopenkey regqueryvalue regqueryvalue regopenkey createfile regopenkey regopenkey regqueryvalue regqueryvalue regopenkey regopenkey regqueryvalue regqueryvalue regqueryvalue regopenkey regqueryvalue regopenkey regqueryvalue regqueryvalue regopenkey regqueryvalue regopenkey regopenkey regopenkey regopenkey createfile createfile createfile regopenkey regopenkey regqueryvalue regopenkey regopenkey regqueryvalue regcreatekey regsetvalue regqueryvalue regopenkey regopenkey regqueryvalue regopenkey regopenkey regopenkey regopenkey regqueryvalue regopenkey regopenkey regqueryvalue regopenkey regqueryvalue regqueryvalue regopenkey regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regopenkey regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regopenkey regqueryvalue regqueryvalue regopenkey regopenkey regopenkey regqueryvalue regqueryvalue regqueryvalue createfile  createfile readfile readfile readfile readfile readfile regcreatekey regqueryvalue regcreatekey regsetvalue createfile readfile writefile writefile writefile writefile writefile writefile readfile writefile createfile readfile writefile regopenkey regqueryvalue,ransomware
createfile readfile regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey createfile regopenkey regdeletekey createfile regopenkey regqueryvalue createfile regopenkey regopenkey,ransomware
createfile readfile,ransomware
writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile,ransomware
writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile,ransomware
writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile,ransomware
writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile,ransomware
writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile,ransomware
writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile,ransomware
writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile,ransomware
writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile,ransomware
writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile,ransomware
regopenkey regopenkey regopenkey regopenkey regopenkey regqueryvalue regopenkey regopenkey regqueryvalue regqueryvalue regqueryvalue regqueryvalue regopenkey regopenkey regopenkey regqueryvalue regopenkey regopenkey regqueryvalue regqueryvalue regqueryvalue regqueryvalue regopenkey regopenkey regqueryvalue regopenkey regopenkey regqueryvalue regqueryvalue regqueryvalue regqueryvalue regopenkey regopenkey regqueryvalue regopenkey regopenkey regqueryvalue regqueryvalue regqueryvalue regqueryvalue regopenkey regqueryvalue regopenkey regopenkey regqueryvalue regqueryvalue regqueryvalue regqueryvalue regopenkey regqueryvalue regopenkey regopenkey regqueryvalue regqueryvalue regqueryvalue regqueryvalue regopenkey regopenkey regopenkey regqueryvalue regopenkey regopenkey regqueryvalue regqueryvalue regqueryvalue regqueryvalue regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regqueryvalue regopenkey regopenkey regqueryvalue regqueryvalue regqueryvalue regqueryvalue regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regcreatekey regqueryvalue regcreatekey regsetvalue regopenkey regsetvalue regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regqueryvalue regopenkey regqueryvalue regopenkey regqueryvalue regqueryvalue regqueryvalue regqueryvalue regcreatekey regopenkey regopenkey regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regqueryvalue regopenkey regqueryvalue regopenkey regcreatekey regopenkey regopenkey regqueryvalue regcreatekey regopenkey regopenkey regopenkey regqueryvalue regopenkey regopenkey regqueryvalue regopenkey,ransomware
writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile,ransomware
writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile,ransomware
writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile,ransomware
writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile,ransomware
writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile,ransomware
writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile,ransomware
writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile,ransomware
writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile,ransomware
writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile,ransomware
createfile readfile regopenkey regopenkey regopenkey createfile readfile readfile readfile readfile createfile readfile readfile readfile readfile regopenkey regopenkey regopenkey regopenkey regqueryvalue regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey,ransomware
writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile,ransomware
writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile,ransomware
writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile,ransomware
writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile,ransomware
writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile,ransomware
createfile readfile regopenkey regopenkey regopenkey createfile readfile readfile readfile readfile createfile readfile readfile readfile readfile regopenkey regopenkey regopenkey regopenkey regqueryvalue regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey regopenkey,ransomware
writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile,ransomware
writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile,ransomware
writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile,ransomware
writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile writefile,ransomware
